,ratingDescription,release year,user rating size,rating_G,rating_NR,rating_PG,rating_PG-13,rating_R,rating_TV-14,rating_TV-G,rating_TV-MA,rating_TV-PG,rating_TV-Y,rating_TV-Y7,rating_TV-Y7-FV,user rating score,,
165,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,96,,
167,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,92,,
168,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,91,,
169,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
170,100,2015,80,0,0,0,0,1,0,0,0,0,0,0,0,98,,
172,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,81,,
174,70,2016,80,0,0,0,0,0,0,0,0,1,0,0,0,91,,
176,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,85,,
179,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,83,,
180,60,2016,80,0,0,1,0,0,0,0,0,0,0,0,0,91,,
185,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,93,,
187,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,90,,
189,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,90,,
192,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,99,,
196,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,82,,
197,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,86,,
201,90,2012,80,0,0,0,0,0,1,0,0,0,0,0,0,89,,
202,110,2015,80,0,0,0,0,0,0,0,1,0,0,0,0,56,,
203,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,97,,
205,90,2006,80,0,0,0,0,0,1,0,0,0,0,0,0,97,,
206,90,2014,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
207,70,2010,80,0,0,0,0,0,0,0,0,1,0,0,0,82,,
208,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,97,,
209,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,96,,
211,90,2013,80,0,0,0,0,0,1,0,0,0,0,0,0,95,,
212,90,2014,80,0,0,0,0,0,1,0,0,0,0,0,0,94,,
215,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
220,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,91,,
222,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,79,,
223,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,96,,
225,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,91,,
226,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,84,,
227,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,92,,
228,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,77,,
232,70,2016,80,0,0,0,0,0,0,0,0,1,0,0,0,93,,
233,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,74,,
